player,strat,wins,total_matches,winrate
sidb,BR,0,1,0
sidb,BW,0,1,0
sidb,GM,0,1,0
sidb,GR,5,10,0.5
sidb,HR,1,1,1
sidb,KM,3,3,1
sidb,KW,1,1,1
simtsui,HK,0,1,0
simtsui,KR,0,1,0
sophc9797,AK,1,2,0.5
sophc9797,HK,0,1,0
sophie,AB,1,2,0.5
sophie,AH,0,1,0
sophie,AR,0,1,0
sophie,BG,2,4,0.5
sophie,BK,14,26,0.538461538
sophie,BM,2,2,1
sophie,BR,7,14,0.5
sophie,BW,1,4,0.25
sophie,GK,18,24,0.75
sophie,KM,0,2,0
sophie,KR,2,3,0.666666667
sophie,KW,1,4,0.25
sstein,AH,1,1,1
sstein,AK,113,190,0.594736842
sstein,AM,0,1,0
sstein,AR,3,8,0.375
sstein,BK,60,106,0.566037736
sstein,BR,1,2,0.5
sstein,BW,1,3,0.333333333
sstein,GK,4,7,0.571428571
sstein,GR,0,2,0
sstein,HK,0,1,0
sstein,KM,0,1,0
sstein,KR,5,9,0.555555556
sstein,KW,0,1,0
stru,AH,1,1,1
stru,AR,1,1,1
stru,KR,0,1,0
superrad,AR,1,1,1
tanini,AB,0,1,0
tanini,AR,0,5,0
tanini,AW,0,1,0
tanini,BG,7,19,0.368421053
tanini,BH,12,20,0.6
tanini,BK,0,1,0
tanini,BM,12,28,0.428571429
tanini,BR,34,60,0.566666667
tanini,BW,8,19,0.421052632
tanini,GH,3,3,1
tanini,GM,11,16,0.6875
tanini,GR,6,8,0.75
tanini,GW,0,1,0
tanini,HM,2,4,0.5
tanini,HR,3,4,0.75
tanini,HW,6,19,0.315789474
tanini,KR,1,1,1
tanini,KW,1,1,1
tanini,MR,49,88,0.556818182
tanini,MW,4,6,0.666666667
tanini,RW,1,2,0.5
tickler,AH,0,1,0
tickler,AK,1,3,0.333333333
tickler,AR,0,1,0
tickler,BH,2,4,0.5
tickler,BK,0,1,0
tickler,BW,0,1,0
tickler,HK,1,3,0.333333333
tickler,HR,2,4,0.5
tickler,HW,0,1,0
tickler,KM,0,1,0
tickler,KR,2,4,0.5
tickler,RW,2,3,0.666666667
timri,AB,1,1,1
timri,AG,4,9,0.444444444
timri,AH,1,2,0.5
timri,AK,1,1,1
timri,AM,0,1,0
timri,AR,1,2,0.5
timri,AW,0,3,0
timri,BG,186,317,0.586750789
timri,BH,1,1,1
timri,GW,12,22,0.545454545
timri,HK,31,63,0.492063492
timri,KM,0,1,0
timri,KW,2,2,1
totem37,AH,2,5,0.4
totem37,BH,0,1,0
totem37,BW,4,6,0.666666667
totem37,GH,2,2,1
totem37,HK,0,1,0
totem37,HR,1,2,0.5
totem37,KR,0,1,0
totem37,KW,1,2,0.5
totem37,MR,2,3,0.666666667
